Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price CAD,Extended Price CAD,
1,6,160-1445-1-ND,LED ORANGE CLEAR 0603 SMD,FCC,6,0,0.37000,2.22,
2,6,160-1446-1-ND,LED GREEN CLEAR 0603 SMD,FCC,6,0,0.40000,2.40,
3,5,A119660-ND,CONN MOD JACK 6P6C R/A SHIELDED,FCC,5,0,2.77000,13.85,
4,27,399-3118-1-ND,CAP CER 1UF 10V X5R 0603,FCC,27,0,0.06700,1.81,
5,15,399-1096-1-ND,CAP CER 0.1UF 16V X7R 0603,FCC,15,0,0.03400,0.51,
6,21,399-8012-1-ND,CAP CER 10UF 16V X5R 0805,FCC,21,0,0.17800,3.74,
7,3,160-1405-1-ND,LED RED CLEAR 1206 SMD,FCC,3,0,0.52000,1.56,
8,20,A122645-ND,CONN MOD JACK 8P8C R/A SHIELDED,FCC,20,0,3.61700,72.34,
9,13,H11L1IS-ND,OPTOISO 5KV OPEN COLLECTOR 6DIP,FCC,13,0,1.12800,14.66,
10,2,768-1174-ND,MOD USB BASIC UART DEV FT234XD,FCC,2,0,8.56000,17.12,
11,5,296-8503-5-ND,IC BUS TRANSCEIVER 8BIT 20DIP,FCC,5,0,0.86000,4.30,
12,3,PCE3878CT-ND,CAP ALUM 10UF 20% 16V SMD,FCC,3,0,0.39000,1.17,
13,10,PCE4014CT-ND,CAP ALUM 1UF 20% 50V SMD,FCC,10,0,0.33500,3.35,
14,6,641-1198-1-ND,TVS DIODE 5VWM 15VC SOT23-3,FCC,6,0,0.70000,4.20,
15,3,EG4621CT-ND,SWITCH TACTILE SPST-NO 0.05A 15V,FCC,3,0,0.28000,0.84,
16,3,BA07CC0FP-E2CT-ND,IC REG LINEAR 7V 1A TO252-3,FCC,3,0,2.37000,7.11,
17,3,P6KE15A-E3/54GICT-ND,TVS DIODE 12.8VWM 21.2VC DO204AC,FCC,3,0,0.65000,1.95,
18,3,CD143A-SR3.3CT-ND,TVS DIODE 3.3VWM 7VC SOT143,FCC,3,0,1.36000,4.08,
19,2,1528-1220-ND,DISPL OLED GRAPHIC MONO 128X64,FCC,2,0,26.85000,53.70,
20,3,785-1004-1-ND,MOSFET N-CH 30V 5.8A SOT23,FCC,3,0,0.81000,2.43,
21,25,311-1.00KHRCT-ND,RES SMD 1K OHM 1% 1/10W 0603,FCC,25,0,0.02200,0.55,
22,100,311-10.0KHRCT-ND,RES SMD 10K OHM 1% 1/10W 0603,FCC,100,0,0.00880,0.88,
23,21,311-100KHRCT-ND,RES SMD 100K OHM 1% 1/10W 0603,FCC,21,0,0.02200,0.46,
24,15,311-470HRCT-ND,RES SMD 470 OHM 1% 1/10W 0603,FCC,15,0,0.02200,0.33,
25,21,311-324HRCT-ND,RES SMD 324 OHM 1% 1/10W 0603,FCC,21,0,0.02200,0.46,
26,10,311-604HRCT-ND,RES SMD 604 OHM 1% 1/10W 0603,FCC,10,0,0.02200,0.22,
27,1,A32091-ND,CONN D-SUB PLUG 9POS R/A SOLDER,FCC,1,0,3.51000,3.51,
28,3,160-1170-1-ND,LED YELLOW CLEAR 1206 SMD,FCC,3,0,0.54000,1.62,
29,10,732-3204-ND,TERM PWR ELEMENT M8 10 PIN PCB,Relay Board,10,0,6.30800,63.08,
30,3,EG1903-ND,SWITCH SLIDE SPDT 200MA 30V,Relay Board,3,0,0.80000,2.40,
31,3,P10.5KDBCT-ND,RES SMD 10.5KOHM 0.1% 1/10W 0603,Relay Board,3,0,0.51000,1.53,
32,3,P768HCT-ND,RES SMD 768 OHM 1% 1/10W 0603,Relay Board,3,0,0.15000,0.45,
33,3,P1.5KDBCT-ND,RES SMD 1.5K OHM 0.1% 1/10W 0603,Relay Board,3,0,0.51000,1.53,
34,2,P6KE15A-E3/54GICT-ND,TVS DIODE 12.8VWM 21.2VC DO204AC,Relay Board,2,0,0.65000,1.30,
35,3,A119660-ND,CONN MOD JACK 6P6C R/A SHIELDED,Relay Board,3,0,2.77000,8.31,
36,2,A122645-ND,CONN MOD JACK 8P8C R/A SHIELDED,Relay Board,2,0,3.77000,7.54,
37,1,CLA394-ND,RELAY OPTOMOS SP-NO 6A 8-SOP,Relay Board,1,0,8.54000,8.54,
38,2,620-1541-5-ND,SENSOR CURRENT HALL 50A AC/DC,Relay Board,2,0,12.29000,24.58,
39,1,620-1544-5-ND,SENSOR CURRENT HALL 100A AC/DC,Relay Board,1,0,12.29000,12.29,
40,4,RHM10KDCT-ND,RES SMD 10K OHM 5% 1/4W 0603,Relay Board,4,0,0.15000,0.60,
41,4,RHM470DCT-ND,RES SMD 470 OHM 5% 1/4W 0603,Relay Board,4,0,0.15000,0.60,
42,4,H11L1-MQT-ND,OPTOISO 4.17KV OPN COLL 6DIP,Relay Board,4,0,1.54000,6.16,
43,4,MUR420RLGOSCT-ND,DIODE GEN PURP 200V 4A DO201AD,Relay Board,4,0,0.67000,2.68,
44,4,PB232-ND,SOCKET RELAY PC MNT FOR VF4 SER,Relay Board,4,0,2.48000,9.92,
45,2,255-5246-ND,RELAY GEN PURPOSE SPST 90A 12V,Relay Board,2,0,45.57000,91.14,
46,3,399-1096-1-ND,CAP CER 0.1UF 16V X7R 0603,Relay Board,3,0,0.14000,0.42,
47,25,DMP3099L-7DICT-ND,MOSFET P-CH 30V SOT23,FCC/RELAY BOARD,25,0,0.42100,10.53,
48,3,296-10538-5-ND,IC OPAMP GP 5.5KHZ RRO 14DIP,FCC,3,0,6.13000,18.39,
49,3,MAX232ACPE+-ND,IC TXRX 2/2 FULL RS232 16DIP,FCC,3,0,7.32000,21.96,
50,25,A120346-ND,CONN IC DIP SOCKET 6POS TIN,FCC/RELAY BOARD,25,0,0.23240,5.81,
51,5,ED3054-5-ND,CONN IC DIP SOCKET 20POS TIN,FCC,5,0,0.36000,1.80,
52,3,ED3045-5-ND,CONN IC DIP SOCKET 14POS TIN,FCC,3,0,0.25000,0.75,
53,3,ED3046-5-ND,CONN IC DIP SOCKET 16POS TIN,FCC,3,0,0.26000,0.78,
54,2,S9199-ND,CONN HEADR FMALE 34POS .1" DL AU,FCC,2,0,2.49000,4.98,
55,2,S7083-ND,CONN HEADER FMAL 30PS .1" DL TIN,FCC,2,0,2.51000,5.02,
56,2,S9197-ND,CONN HEADR FMALE 20POS .1" DL AU,FCC,2,0,1.58000,3.16,
57,2,S7076-ND,CONN HEADER FMAL 16PS .1" DL TIN,FCC,2,0,1.36000,2.72,
58,10,S6100-ND,CONN HEADER FEM 12POS.1" SGL TIN,RANDOM,10,0,0.94900,9.49,
